# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Tue Jan 31 08:42:23 2023,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,frac1,frac2
TRAPPIST-1 b,TRAPPIST-1,1.510826,0.000006,-0.000006,0,0.01154,0.0001,-0.0001,0,1.116,0.014,-0.012,0,1.374,0.069,-0.069,0,0.012544803,0.010752688
TOI-500 b,TOI-500,0.548177,0.000019,-0.000019,0,0.01189,0.00041,-0.0004,0,1.166,0.061,-0.058,0,1.42,0.18,-0.18,0,0.052315609,0.04974271
LTT 1445 A c,LTT 1445 A,3.1239035,0.0000034,-0.0000036,0,0.02661,0.00047,-0.00049,0,1.147,0.055,-0.054,0,1.54,0.2,-0.19,0,0.047951177,0.047079337
TOI-270 b,TOI-270,3.3601538,0.0000048,-0.0000048,0,0.03197,0.00022,-0.00022,0,1.206,0.039,-0.039,0,1.58,0.26,-0.26,0,0.032338308,0.032338308
GJ 1132 b,GJ 1132,1.628931,0.000027,-0.000027,0,0.0153,0.0005,-0.0005,0,1.13,0.056,-0.056,0,1.66,0.23,-0.23,0,0.049557522,0.049557522
LHS 1140 c,LHS 1140,3.77792,0.00003,-0.00003,0,0.02734,0.00054,-0.00054,0,1.169,0.037,-0.038,0,1.76,0.17,-0.16,0,0.031650984,0.032506416
Kepler-78 b,Kepler-78,0.355,,,0,,,,,1.228,0.018,-0.019,0,1.77,0.24,-0.25,0,0.01465798,0.015472313
GJ 357 b,GJ 357,3.93072,0.00008,-0.00006,0,0.035,0.002,-0.002,0,1.217,0.084,-0.083,0,1.84,0.31,-0.31,0,0.069022186,0.068200493
GJ 3473 b,GJ 3473,1.1980035,0.0000018,-0.0000019,0,0.01589,0.00062,-0.00062,0,1.264,0.05,-0.049,0,1.86,0.3,-0.3,0,0.039556962,0.038765823
Kepler-78 b,Kepler-78,0.35500744,0.00000006,-0.00000006,0,,,,,1.2,0.09,-0.09,0,1.87,0.27,-0.26,0,0.075,0.075
L 98-59 d,L 98-59,7.4507245,0.0000081,-0.0000046,0,0.0486,0.0018,-0.0019,0,1.521,0.119,-0.098,0,1.94,0.28,-0.28,0,0.078238001,0.064431295
HD 260655 b,HD 260655,2.76953,0.00003,-0.00003,0,0.02933,0.00024,-0.00024,0,1.24,0.023,-0.023,0,2.14,0.34,-0.34,0,0.018548387,0.018548387
L 98-59 c,L 98-59,3.6906777,0.0000016,-0.0000026,0,0.0304,0.0011,-0.0012,0,1.385,0.095,-0.075,0,2.22,0.26,-0.25,0,0.068592058,0.054151625
L 98-59 d,L 98-59,7.4512,0.0007,-0.0007,0,0.0506,0.0002,-0.0002,0,1.57,0.14,-0.14,0,2.31,0.46,-0.45,0,0.089171975,0.089171975
LHS 1478 b,LHS 1478,1.9495378,0.000004,-0.0000041,0,0.01848,0.00061,-0.00063,0,1.242,0.051,-0.049,0,2.33,0.2,-0.2,0,0.041062802,0.039452496
LTT 3780 b,LTT 3780,0.768377,0.0000014,-0.0000014,0,0.01203,0.00054,-0.00053,0,1.35,0.06,-0.06,0,2.34,0.24,-0.23,0,0.044444444,0.044444444
L 98-59 c,L 98-59,3.6904,0.0003,-0.0003,0,0.0317,0.0001,-0.0001,0,1.35,0.07,-0.07,0,2.42,0.35,-0.34,0,0.051851852,0.051851852
K2-229 b,K2-229,0.584,,,0,,,,,1.197,0.045,-0.048,0,2.49,0.42,-0.43,0,0.037593985,0.040100251
TOI-1807 b,TOI-1807,0.549374,0.00001,-0.000013,0,0.012,0.0003,-0.0003,0,1.37,0.09,-0.09,0,2.57,0.5,-0.5,0,0.065693431,0.065693431
K2-229 b,K2-229,0.584249,0.000014,-0.000014,0,0.012888,0.00013,-0.00013,0,1.164,0.066,-0.048,0,2.59,0.43,-0.43,0,0.056701031,0.041237113
LTT 3780 b,LTT 3780,0.768448,0.000055,-0.000053,0,0.01211,0.00012,-0.00012,0,1.332,0.072,-0.075,0,2.62,0.48,-0.46,0,0.054054054,0.056306306
GJ 486 b,GJ 486,1.467119,0.000031,-0.00003,0,0.01734,0.00026,-0.00027,0,1.305,0.063,-0.067,0,2.82,0.11,-0.12,0,0.048275862,0.051340996
LTT 1445 A b,LTT 1445 A,5.3587657,0.0000043,-0.0000042,0,0.03813,0.00068,-0.0007,0,1.305,0.066,-0.061,0,2.87,0.26,-0.25,0,0.050574713,0.046743295
TOI-431 b,TOI-431,0.490047,0.00001,-0.000007,0,0.0113,0.0002,-0.0003,0,1.28,0.04,-0.04,0,3.07,0.35,-0.35,0,0.03125,0.03125
HD 260655 c,HD 260655,5.70588,0.00007,-0.00007,0,0.04749,0.00039,-0.00039,0,1.533,0.051,-0.046,0,3.09,0.48,-0.48,0,0.033268102,0.030006523
TOI-1468 b,TOI-1468,1.8805136,0.0000024,-0.0000026,0,,,,,1.28,0.038,-0.039,0,3.21,0.24,-0.24,0,0.0296875,0.03046875
Kepler-10 b,Kepler-10,0.8374907,0.0000002,-0.0000002,0,0.01685,0.00013,-0.00013,0,1.47,0.03,-0.03,0,3.33,0.49,-0.49,0,0.020408163,0.020408163
Kepler-10 b,Kepler-10,0.837,,,0,,,,,1.489,0.023,-0.021,0,3.57,0.51,-0.53,0,0.015446608,0.014103425
Kepler-307 c,Kepler-307,13.0729,0.0012,-0.0012,0,,,,,2.2,0.07,-0.07,0,3.64,0.65,-0.58,0,0.031818182,0.031818182
GJ 9827 b,GJ 9827,1.208966,0.000012,-0.000012,0,0.0206,0.002,-0.0023,0,1.58,0.14,-0.13,0,3.69,0.48,-0.46,0,0.088607595,0.082278481
Kepler-60 b,Kepler-60,7.133,,,0,,,,,1.6,0.3,-0.3,0,3.7,0.6,-0.6,0,0.1875,0.1875
Kepler-10 b,Kepler-10,0.8374907,0.0000002,-0.0000002,0,0.01685,0.00013,-0.00013,0,1.47,0.03,-0.03,0,3.72,0.42,-0.42,0,0.020408163,0.020408163
TOI-1685 b,TOI-1685,0.6691403,0.0000023,-0.0000021,0,,,,,1.7,0.07,-0.07,0,3.78,0.63,-0.63,0,0.041176471,0.041176471
Kepler-36 b,Kepler-36,13.86825,0.0005,-0.0005,0,,,,,1.498,0.061,-0.049,0,3.83,0.11,-0.1,0,0.040720961,0.03271028
TOI-1444 b,TOI-1444,0.4702694,0.0000044,-0.0000044,0,,,,,1.397,0.064,-0.064,0,3.87,0.71,-0.71,0,0.045812455,0.045812455
Kepler-36 b,Kepler-36,13.848,,,0,,,,,1.5,0.1,-0.1,0,3.9,0.2,-0.2,0,0.066666667,0.066666667
Kepler-60 d,Kepler-60,11.899,,,0,,,,,1.6,0.3,-0.3,0,3.9,0.7,-0.6,0,0.1875,0.1875
Kepler-307 c,Kepler-307,13.084,,,0,,,,,2.7,0.3,-0.3,0,3.9,0.7,-0.7,0,0.111111111,0.111111111
Kepler-307 c,Kepler-307,13.073,,,0,,,,,2.72,0.31,-0.3,0,3.9,0.7,-0.69,0,0.113970588,0.110294118
Kepler-93 b,Kepler-93,4.72673978,0.00000097,-0.00000097,0,0.053,0.002,-0.002,0,1.478,0.019,-0.019,0,4.02,0.68,-0.68,0,0.01285521,0.01285521
HD 137496 b,HD 137496,1.62116,0.0000791,-0.0000806,0,0.02732,0.00019,-0.00019,0,1.31,0.06,-0.05,0,4.04,0.55,-0.55,0,0.045801527,0.038167939
Kepler-65 d,Kepler-65,8.13167,0.00024,-0.00021,0,,,,,1.587,0.04,-0.035,0,4.14,0.79,-0.8,0,0.025204789,0.02205419
Kepler-60 b,Kepler-60,7.1334,0.0001,-0.0001,0,,,,,1.71,0.13,-0.13,0,4.19,0.56,-0.52,0,0.076023392,0.076023392
HD 219134 c,HD 219134,6.76458,0.00033,-0.00033,0,0.0653,0.0008,-0.0008,0,1.511,0.047,-0.047,0,4.36,0.22,-0.22,0,0.031105228,0.031105228
Kepler-36 b,Kepler-36,13.83989,0.00082,-0.0006,0,0.1153,0.0015,-0.0015,0,1.486,0.035,-0.035,0,4.45,0.33,-0.27,0,0.023553163,0.023553163
Kepler-1705 b,Kepler-1705,9.03502,0.00065,-0.00064,0,,,,,2.03,0.12,-0.14,0,4.47,0.48,-0.43,0,0.0591133,0.068965517
pi Men c,HD 39091,6.26834,0.00024,-0.00024,0,0.06702,0.00109,-0.00109,0,2.06,0.03,-0.03,0,4.52,0.81,-0.81,0,0.014563107,0.014563107
Kepler-93 b,Kepler-93,4.72674,0.000001,-0.000001,0,,,,,1.569,0.112,-0.112,0,4.54426,0.84796,-0.84796,0,0.071383047,0.071383047
HD 110113 b,HD 110113,2.541,0.0005,-0.001,0,0.035,0.001,-0.001,0,2.05,0.12,-0.12,0,4.55,0.62,-0.62,0,0.058536585,0.058536585
L 168-9 b,L 168-9,1.4015,0.00018,-0.00018,0,0.02091,0.00024,-0.00024,0,1.39,0.09,-0.09,0,4.6,0.56,-0.56,0,0.064748201,0.064748201
KOI-1599.01,KOI-1599,20.4415,0.0013,-0.0013,0,0.14728,,,0,1.9,0.3,-0.3,0,4.6,0.3,-0.3,0,0.157894737,0.157894737
HD 136352 b,HD 136352,11.57779,0.00091,-0.0011,0,0.0969,0.0019,-0.0017,0,1.482,0.058,-0.056,0,4.62,0.45,-0.44,0,0.039136302,0.037786775
HD 136352 b,HD 136352,11.57797,0.00008,-0.00013,0,0.0964,0.0028,-0.0028,0,1.664,0.043,-0.043,0,4.72,0.42,-0.42,0,0.025841346,0.025841346
HD 3167 b,HD 3167,0.95965428,0.0000003,-0.00000029,0,0.01802,0.00025,-0.00025,0,1.627,0.083,-0.058,0,4.73,0.28,-0.29,0,0.051014136,0.035648433
HD 219134 b,HD 219134,3.092926,0.00001,-0.00001,0,0.03876,0.00047,-0.00047,0,1.602,0.055,-0.055,0,4.74,0.19,-0.19,0,0.034332085,0.034332085
TOI-178 c,TOI-178,3.23845,0.00002,-0.000019,0,0.037,0.0011,-0.0011,0,1.669,0.114,-0.099,0,4.77,0.55,-0.68,0,0.068304374,0.059316956
TOI-270 d,TOI-270,11.379573,0.000013,-0.000013,0,0.0721,0.0005,-0.0005,0,2.133,0.058,-0.058,0,4.78,0.43,-0.43,0,0.027191749,0.027191749
pi Men c,HD 39091,6.2679,0.00046,-0.00046,0,0.06839,0.0005,-0.0005,0,2.042,0.05,-0.05,0,4.82,0.84,-0.86,0,0.024485798,0.024485798
GJ 9827 b,GJ 9827,1.209,,,0,,,,,1.571,0.033,-0.039,0,4.89,0.43,-0.42,0,0.021005729,0.024824952
GJ 9827 b,GJ 9827,1.2089819,0.00000693,-0.00000714,0,0.0188,0.0002,-0.00014,0,1.577,0.027,-0.031,0,4.91,0.49,-0.49,0,0.017121116,0.019657578
TOI-1634 b,TOI-1634,0.989343,0.000015,-0.000015,0,0.01545,0.00014,-0.00014,0,1.79,0.08,-0.081,0,4.91,0.68,-0.7,0,0.044692737,0.045251397
HD 3167 b,HD 3167,0.959641,0.000011,-0.000012,0,0.01815,0.00023,-0.00023,0,1.7,0.18,-0.15,0,5.02,0.38,-0.38,0,0.105882353,0.088235294
Kepler-26 b,Kepler-26,12.28,,,0,,,,,2.9,0.21,-0.2,0,5.02,0.68,-0.64,0,0.072413793,0.068965517
K2-141 b,K2-141,0.2803244,0.0000015,-0.0000015,0,,,,,1.51,0.05,-0.05,0,5.08,0.41,-0.41,0,0.033112583,0.033112583
Kepler-26 b,Kepler-26,12.28,0.0003,-0.0003,0,,,,,2.78,0.11,-0.11,0,5.12,0.65,-0.61,0,0.039568345,0.039568345
K2-141 b,K2-141,0.28,,,0,,,,,1.493,0.041,-0.035,0,5.16,0.35,-0.34,0,0.027461487,0.023442733
K2-111 b,K2-111,5.3518,0.0004,-0.0004,0,0.057,0.0012,-0.0012,0,1.82,0.11,-0.09,0,5.29,0.76,-0.77,0,0.06043956,0.049450549
K2-141 b,K2-141,0.2803226,0.0000013,-0.0000013,0,0.00716,0.00055,-0.00065,0,1.54,0.1,-0.09,0,5.31,0.46,-0.46,0,0.064935065,0.058441558
TOI-561 c,TOI-561,10.779,0.004,-0.004,0,0.08809,0.0007,-0.0007,0,2.878,0.096,-0.096,0,5.4,0.98,-0.98,0,0.033356498,0.033356498
Kepler-177 b,Kepler-177,36.855,,,0,,,,,3.1,0.4,-0.4,0,5.4,1,-0.9,0,0.129032258,0.129032258
Kepler-1705 c,Kepler-1705,11.28,0.0011,-0.0009,0,,,,,2.05,0.14,-0.15,0,5.42,0.61,-0.57,0,0.068292683,0.073170732
TOI-1695 b,TOI-1695,3.134279,0.0000072,-0.0000072,0,,,,,2.03,0.18,-0.18,0,5.5,1,-1,0,0.088669951,0.088669951
Kepler-36 b,Kepler-36,13.849039,0.000078,-0.000078,0,,,,,1.582,0.015,-0.015,0,5.56,0.41,-0.45,0,0.009481669,0.009481669
HD 3167 b,HD 3167,0.96,,,0,,,,,1.626,0.048,-0.054,0,5.59,0.98,-0.96,0,0.029520295,0.033210332
HD 80653 b,HD 80653,0.719573,0.000021,-0.000021,0,0.0166,0.0003,-0.0003,0,1.613,0.071,-0.071,0,5.6,0.43,-0.43,0,0.044017359,0.044017359
K2-146 b,K2-146,2.6698,0.0001,-0.0001,0,0.0248,0.0002,-0.0002,0,2.25,0.1,-0.1,0,5.6,0.7,-0.7,0,0.044444444,0.044444444
HD 3167 b,HD 3167,0.959632,0.000015,-0.000015,0,0.01752,0.00063,-0.00063,0,1.574,0.054,-0.054,0,5.69,0.44,-0.44,0,0.034307497,0.034307497
Kepler-51 d,Kepler-51,130.1845,0.0007,-0.0007,0,,,,,9.46,0.16,-0.16,0,5.7,1.12,-1.12,0,0.016913319,0.016913319
CoRoT-7 b,CoRoT-7,0.85359159,0.00000057,-0.00000057,0,0.017016,0.00017,-0.000036,0,1.585,0.064,-0.064,0,5.74,0.86,-0.86,0,0.040378549,0.040378549
K2-146 b,K2-146,2.6446,0.00006,-0.00006,0,,,,,2.05,0.06,-0.06,0,5.77,0.18,-0.18,0,0.029268293,0.029268293
Kepler-177 b,Kepler-177,36.8601,0.0015,-0.0014,0,,,,,3.5,0.19,-0.15,0,5.84,0.86,-0.82,0,0.054285714,0.042857143
TOI-1235 b,TOI-1235,3.444717,0.00004,-0.000042,0,0.03826,0.00048,-0.00049,0,1.694,0.08,-0.077,0,5.9,0.62,-0.61,0,0.047225502,0.045454545
CoRoT-7 b,CoRoT-7,0.8535,0.00000059,-0.00000059,0,,,,,1.528,0.065,-0.065,0,6.056,0.653,-0.653,0,0.042539267,0.042539267
Kepler-26 c,Kepler-26,17.251,,,0,,,,,2.5,0.2,-0.2,0,6.1,0.7,-0.7,0,0.08,0.08
Kepler-26 c,Kepler-26,17.256,,,0,,,,,2.51,0.21,-0.18,0,6.12,0.72,-0.7,0,0.083665339,0.071713147
TOI-270 c,TOI-270,5.6605731,0.0000031,-0.0000031,0,0.04526,0.00031,-0.00031,0,2.355,0.064,-0.064,0,6.15,0.37,-0.37,0,0.027176221,0.027176221
Kepler-26 c,Kepler-26,17.2559,0.0006,-0.0006,0,,,,,2.72,0.12,-0.12,0,6.2,0.65,-0.65,0,0.044117647,0.044117647
Wolf 503 b,Wolf 503,6.00127,0.000021,-0.000021,0,0.05706,0.00055,-0.00055,0,2.043,0.069,-0.069,0,6.26,0.69,-0.7,0,0.033773862,0.033773862
GJ 1214 b,GJ 1214,1.58040456,0.00000016,-0.00000016,0,0.01411,0.00032,-0.00032,0,2.847,0.202,-0.202,0,6.26125,0.85814,-0.85814,0,0.070951879,0.070951879
TOI-1201 b,TOI-1201,2.4919863,0.000003,-0.0000031,0,0.0287,0.0012,-0.0012,0,2.415,0.091,-0.09,0,6.28,0.84,-0.88,0,0.037681159,0.037267081
LTT 3780 c,LTT 3780,12.252131,0.000072,-0.000064,0,0.0762,0.0034,-0.0034,0,2.42,0.1,-0.1,0,6.29,0.63,-0.61,0,0.041322314,0.041322314
Kepler-79 e,Kepler-79,81.063633,0.00044,-0.00044,0,,,,,3.414,0.129,-0.129,0,6.3,1,-1,0,0.037785589,0.037785589
K2-138 c,K2-138,3.56004,0.00012,-0.00011,0,0.04461,0.0003,-0.00038,0,2.299,0.12,-0.087,0,6.31,1.13,-1.23,0,0.052196607,0.03784254
GJ 1214 b,GJ 1214,1.58040487,0.00000067,-0.00000067,0,,,,,2.74,0.06,-0.05,0,6.37,0.87,-0.87,0,0.02189781,0.018248175
LHS 1140 b,LHS 1140,24.73694,0.00041,-0.0004,0,0.0957,0.0019,-0.0019,0,1.635,0.046,-0.046,0,6.38,0.46,-0.44,0,0.028134557,0.028134557
K2-291 b,K2-291,2.225,,,0,,,,,1.582,0.037,-0.042,0,6.4,1.1,-1.1,0,0.023388116,0.026548673
Kepler-87 c,Kepler-87,191.2318,0.0015,-0.0015,0,0.676,0.037,-0.04,0,6.14,0.29,-0.29,0,6.4,0.8,-0.8,0,0.04723127,0.04723127
GJ 1214 b,GJ 1214,1.58040482,0.00000024,-0.00000024,0,,,,,2.27,0.08,-0.08,0,6.43,0.86,-0.86,0,0.035242291,0.035242291
GJ 1214 b,GJ 1214,1.58040482,0.00000024,-0.00000024,0,,,,,2.65,0.09,-0.09,0,6.45,0.91,-0.91,0,0.033962264,0.033962264
K2-291 b,K2-291,2.225177,0.000066,-0.000068,0,0.03261,0.00044,-0.00044,0,1.589,0.095,-0.072,0,6.49,1.16,-1.16,0,0.059786029,0.045311517
K2-265 b,K2-265,2.369172,0.000089,-0.000089,0,0.03376,0.00021,-0.00021,0,1.71,0.11,-0.11,0,6.54,0.84,-0.84,0,0.064327485,0.064327485
GJ 1214 b,GJ 1214,1.5803925,0.0000117,-0.0000117,0,,,,,2.678,0.13,-0.13,0,6.55,0.98,-0.98,0,0.048543689,0.048543689
K2-3 b,K2-3,10.05454,0.00003,-0.00003,0,0.0777,0.0024,-0.0026,0,2.29,0.23,-0.23,0,6.6,1.1,-1.1,0,0.100436681,0.100436681
TOI-125 c,TOI-125,9.15059,0.0007,-0.00082,0,0.0814,0.0013,-0.0013,0,2.759,0.1,-0.1,0,6.63,0.99,-0.99,0,0.036245016,0.036245016
TOI-1468 c,TOI-1468,15.532482,0.000034,-0.000033,0,,,,,2.064,0.044,-0.044,0,6.64,0.67,-0.68,0,0.021317829,0.021317829
Kepler-11 e,Kepler-11,31.995,,,0,,,,,4,0.2,-0.3,0,6.7,1.2,-1,0,0.05,0.075
Kepler-80 c,Kepler-80,9.52355,0.00041,-0.00029,0,0.0792,0.0011,-0.0011,0,2.74,0.12,-0.1,0,6.74,1.23,-0.86,0,0.04379562,0.03649635
Kepler-80 d,Kepler-80,3.07222,0.00006,-0.00004,0,0.0372,0.0005,-0.0005,0,1.53,0.09,-0.07,0,6.75,0.69,-0.51,0,0.058823529,0.045751634
WASP-47 e,WASP-47,0.7895933,0.0000044,-0.0000044,0,,,,,1.808,0.026,-0.026,0,6.77,0.57,-0.57,0,0.014380531,0.014380531
Kepler-11 d,Kepler-11,22.687,,,0,,,,,3.3,0.2,-0.2,0,6.8,0.7,-0.8,0,0.060606061,0.060606061
WASP-47 e,WASP-47,0.789592,0.000012,-0.000012,0,,,,,1.81,0.027,-0.027,0,6.83,0.66,-0.66,0,0.014917127,0.014917127
TOI-1235 b,TOI-1235,3.444729,0.000031,-0.000028,0,0.03845,0.00037,-0.0004,0,1.738,0.087,-0.076,0,6.91,0.75,-0.85,0,0.050057537,0.043728423
WASP-47 e,WASP-47,0.79,,,0,,,,,1.773,0.049,-0.048,0,6.91,0.81,-0.83,0,0.027636774,0.027072758
Kepler-80 b,Kepler-80,7.05246,0.0002,-0.00022,0,0.0648,0.0009,-0.0009,0,2.67,0.1,-0.1,0,6.93,1.05,-0.7,0,0.037453184,0.037453184
LHS 1140 b,LHS 1140,24.736959,0.00008,-0.00008,0,0.0936,0.0024,-0.0024,0,1.727,0.032,-0.032,0,6.98,0.89,-0.89,0,0.018529241,0.018529241
Kepler-36 c,Kepler-36,16.21865,0.0001,-0.0001,0,,,,,3.679,0.096,-0.091,0,7.13,0.18,-0.18,0,0.026094047,0.024734982
TOI-421 b,TOI-421,5.19672,0.00049,-0.00049,0,0.056,0.0018,-0.0018,0,2.68,0.19,-0.18,0,7.17,0.66,-0.66,0,0.070895522,0.067164179
HD 15337 b,HD 15337,4.75642,0.00021,-0.0002,0,0.05245,0.00085,-0.00072,0,1.699,0.062,-0.059,0,7.2,0.81,-0.81,0,0.036492054,0.03472631
